FIPS_code,State_name,Area_name,State_code,Rural_urban_continuum_code_2013,Urban_influence_code_2013,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",POP_ESTIMATE_2019,N_POP_CHG_2019,NET_MIG_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,PCTPOVALL_2019,Metro_2013,Unemployment_rate_2019,Median_Household_Income_2019
01001,Alabama,Autauga County,AL,2,2,11.483394622802734,33.58845901489258,28.356571197509766,26.57157325744629,55869.0,336.0,254.0,1.490098921,-0.287247985,4.8473097431,12.1,1,2.7,58233.0
01003,Alabama,Baldwin County,AL,3,2,9.193842887878418,27.659616470336914,31.284080505371094,31.862459182739258,223234.0,5379.0,5377.0,-0.099753111,0.3627385856,24.017828601,10.1,1,2.7,59871.0
01005,Alabama,Barbour County,AL,6,6,26.786907196044922,35.60454177856445,26.029836654663086,11.578713417053223,24686.0,-186.0,-128.0,-2.259978207,0.5246377981,-5.690302272,27.1,0,3.8,35972.0
01007,Alabama,Bibb County,AL,1,1,20.942602157592773,44.8787727355957,23.800098419189453,10.378525733947754,22394.0,27.0,41.0,-0.53618105,0.4468175421,1.3851343804,20.3,1,3.1,47918.0
01009,Alabama,Blount County,AL,1,1,19.509437561035156,33.4221305847168,33.97502136230469,13.093413352966309,57826.0,55.0,65.0,-0.103808922,0.1038089224,1.0207877367,16.3,1,2.7,52902.0
01011,Alabama,Bullock County,AL,6,6,25.320377349853516,40.27601623535156,22.34896469116211,12.05463981628418,10101.0,-73.0,-73.0,0.0,-0.09864365,-7.102342787,30.0,0,3.6,31906.0
01013,Alabama,Butler County,AL,6,6,14.950430870056152,45.184165954589844,23.728200912475586,16.137203216552734,19448.0,-183.0,-123.0,-3.019524553,0.9212108805,-7.216151897,21.6,0,3.6,39944.0
01015,Alabama,Calhoun County,AL,3,2,15.567325592041016,32.79061508178711,33.16099548339844,18.481063842773438,113605.0,-726.0,-461.0,-2.30766531,0.1228414994,-4.167836586,17.2,1,3.5,47747.0
01017,Alabama,Chambers County,AL,6,5,18.37824249267578,36.73546600341797,31.59023094177246,13.296061515808105,33254.0,-346.0,-259.0,-2.602686451,0.1794956173,-7.927723098,19.6,0,2.9,42015.0
01019,Alabama,Cherokee County,AL,6,6,18.427465438842773,40.256439208984375,28.56310272216797,12.7529935836792,26196.0,182.0,303.0,-4.63512737,-0.114920513,11.721892358,15.9,0,2.9,45982.0
